Landsat Product Identifier L2,Landsat Product Identifier L1,Landsat Scene Identifier,Date Acquired,Collection Category,Collection Number,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Nadir/Off Nadir,Roll Angle,Date Product Generated L2,Date Product Generated L1,Start Time,Stop Time,Station Identifier,Day/Night Indicator,Land Cloud Cover,Scene Cloud Cover L1,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model,Geometric RMSE Model X,Geometric RMSE Model Y,Processing Software Version,Sun Elevation L0RA,Sun Azimuth L0RA,TIRS SSM Model,Data Type L2,Sensor Identifier,Satellite,Product Map Projection L1,UTM Zone,Datum,Ellipsoid,Scene Center Lat DMS,Scene Center Long DMS,Corner Upper Left Lat DMS,Corner Upper Left Long DMS,Corner Upper Right Lat DMS,Corner Upper Right Long DMS,Corner Lower Left Lat DMS,Corner Lower Left Long DMS,Corner Lower Right Lat DMS,Corner Lower Right Long DMS,Scene Center Latitude,Scene Center Longitude,Corner Upper Left Latitude,Corner Upper Left Longitude,Corner Upper Right Latitude,Corner Upper Right Longitude,Corner Lower Left Latitude,Corner Lower Left Longitude,Corner Lower Right Latitude,Corner Lower Right Longitude,Display ID,Entity ID
LC08_L2SP_045032_20130325_20200912_02_T1,LC08_L1TP_045032_20130325_20200912_02_T1,LC80450322013084LGN02,2013-03-25,T1,2,45,32,45,32,NADIR,0.0,2020/09/12,2020/09/12,2013-03-25 18:53:28.843406,2013-03-25 18:53:58.639427,LGN,DAY,56.2,57.33,604,5,5.315,3.61,3.9,LPGS_15.3.1c,47.26982364,148.03700146,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,10,WGS84,WGS84,"40°19'58.15""N","123°02'39.34""W","41°19'34.46""N","124°23'10.03""W","41°19'38.24""N","121°42'16.81""W","39°18'57.35""N","124°20'44.16""W","39°19'00.91""N","121°44'33.14""W",40.33282,-123.04426,41.32624,-124.38612,41.32729,-121.70467,39.31593,-124.3456,39.31692,-121.74254,LC08_L2SP_045032_20130325_20200912_02_T1,LC80450322013084LGN02
LC08_L2SP_044032_20130409_20200912_02_T1,LC08_L1TP_044032_20130409_20200912_02_T1,LC80440322013099LGN03,2013-04-09,T1,2,44,32,44,32,NADIR,0.0,2020/09/12,2020/09/12,2013-04-09 18:45:32.132891,2013-04-09 18:46:01.928911,LGN,DAY,0.99,0.99,675,5,6.351,3.929,4.99,LPGS_15.3.1c,53.01149326,146.06155758,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,10,WGS84,WGS84,"40°19'57.40""N","120°54'31""W","41°20'04.74""N","122°13'14.88""W","41°17'06.72""N","119°32'17.84""W","39°21'13.28""N","122°14'35.74""W","39°18'27.25""N","119°38'16.37""W",40.33261,-120.90861,41.33465,-122.2208,41.2852,-119.53829,39.35369,-122.24326,39.30757,-119.63788,LC08_L2SP_044032_20130409_20200912_02_T1,LC80440322013099LGN03
LC08_L2SP_044032_20130416_20200913_02_T1,LC08_L1TP_044032_20130416_20200913_02_T1,LC80440322013106LGN03,2013-04-16,T1,2,44,32,44,32,NADIR,0.0,2020/09/13,2020/09/13,2013-04-16 18:46:50.882651,2013-04-16 18:47:20.678671,LGN,DAY,42.67,42.67,553,5,5.691,3.661,4.357,LPGS_15.3.1c,55.48316833,144.84268076,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,10,WGS84,WGS84,"40°19'57.54""N","121°13'42.20""W","41°19'51.67""N","122°33'15.30""W","41°17'19.50""N","119°50'59.03""W","39°20'59.78""N","122°34'01.56""W","39°18'37.84""N","119°56'25.40""W",40.33265,-121.22839,41.33102,-122.55425,41.28875,-119.84973,39.34994,-122.5671,39.31051,-119.94039,LC08_L2SP_044032_20130416_20200913_02_T1,LC80440322013106LGN03
LC08_L2SP_045032_20130423_20200913_02_T1,LC08_L1TP_045032_20130423_20200913_02_T1,LC80450322013113LGN02,2013-04-23,T1,2,45,32,45,32,NADIR,0.0,2020/09/13,2020/09/13,2013-04-23 18:52:58.979727,2013-04-23 18:53:28.775747,LGN,DAY,0.51,0.5,1228,5,4.163,2.738,3.136,LPGS_15.3.1c,57.78038587,143.44799264,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,10,WGS84,WGS84,"40°19'57.43""N","122°45'20.38""W","41°19'35.11""N","124°07'15.10""W","41°19'14.02""N","121°23'08.84""W","39°19'16.79""N","124°05'17.41""W","39°18'57.10""N","121°25'58.26""W",40.33262,-122.75566,41.32642,-124.12086,41.32056,-121.38579,39.32133,-124.08817,39.31586,-121.43285,LC08_L2SP_045032_20130423_20200913_02_T1,LC80450322013113LGN02
LC08_L2SP_045032_20130525_20200912_02_T1,LC08_L1TP_045032_20130525_20200912_02_T1,LC80450322013145LGN02,2013-05-25,T1,2,45,32,45,32,NADIR,0.0,2020/09/12,2020/09/12,2013-05-25 18:53:15.867593,2013-05-25 18:53:45.663613,LGN,DAY,1.12,1.1,1338,5,2.922,2.095,2.037,LPGS_15.3.1c,65.04385757,134.9430126,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,10,WGS84,WGS84,"40°19'58.69""N","122°48'23.47""W","41°19'33.31""N","124°10'15.74""W","41°19'16.50""N","121°26'09.42""W","39°19'15.10""N","124°08'12.80""W","39°18'59.44""N","121°28'53.62""W",40.33297,-122.80652,41.32592,-124.17104,41.32125,-121.43595,39.32086,-124.13689,39.31651,-121.48156,LC08_L2SP_045032_20130525_20200912_02_T1,LC80450322013145LGN02
LC08_L2SP_044032_20130603_20200912_02_T1,LC08_L1TP_044032_20130603_20200912_02_T1,LC80440322013154LGN01,2013-06-03,T1,2,44,32,44,32,NADIR,0.0,2020/09/12,2020/09/12,2013-06-03 18:47:04.893857,2013-06-03 18:47:34.689877,LGN,DAY,0.11,0.11,1150,5,2.313,1.384,1.854,LPGS_15.3.1c,65.93846954,132.50042706,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,10,WGS84,WGS84,"40°19'57.61""N","121°15'21.60""W","41°19'52.03""N","122°34'58.55""W","41°17'22.31""N","119°52'42.06""W","39°20'50.39""N","122°35'41.89""W","39°18'30.74""N","119°58'05.92""W",40.33267,-121.256,41.33112,-122.58293,41.28953,-119.87835,39.34733,-122.59497,39.30854,-119.96831,LC08_L2SP_044032_20130603_20200912_02_T1,LC80440322013154LGN01
LC08_L2SP_044032_20130619_20200912_02_T1,LC08_L1TP_044032_20130619_20200912_02_T1,LC80440322013170LGN01,2013-06-19,T1,2,44,32,44,32,NADIR,0.0,2020/09/12,2020/09/12,2013-06-19 18:46:57.789525,2013-06-19 18:47:27.585545,LGN,DAY,26.79,26.79,671,5,4.351,3.087,3.065,LPGS_15.3.1c,66.28263541,129.48454449,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,10,WGS84,WGS84,"40°19'57.22""N","121°13'10.31""W","41°19'51.56""N","122°32'49.49""W","41°17'18.82""N","119°50'33.29""W","39°20'59.68""N","122°33'36.50""W","39°18'37.19""N","119°56'00.38""W",40.33256,-121.21953,41.33099,-122.54708,41.28856,-119.84258,39.34991,-122.56014,39.31033,-119.93344,LC08_L2SP_044032_20130619_20200912_02_T1,LC80440322013170LGN01
LC08_L2SP_044032_20130705_20200912_02_T1,LC08_L1TP_044032_20130705_20200912_02_T1,LC80440322013186LGN01,2013-07-05,T1,2,44,32,44,32,NADIR,0.0,2020/09/12,2020/09/12,2013-07-05 18:47:00.258138,2013-07-05 18:47:32.028133,LGN,DAY,0.06,0.06,1162,5,2.811,2.042,1.932,LPGS_15.3.1c,65.25988609,129.2296346,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,10,WGS84,WGS84,"40°19'58.66""N","121°13'43.18""W","41°23'25.91""N","122°34'18.44""W","41°20'51.79""N","119°49'57.18""W","39°17'25.91""N","122°35'05.50""W","39°15'02.74""N","119°55'44.72""W",40.33296,-121.22866,41.39053,-122.57179,41.34772,-119.83255,39.29053,-122.58486,39.25076,-119.92909,LC08_L2SP_044032_20130705_20200912_02_T1,LC80440322013186LGN01
LC08_L2SP_045032_20130712_20200912_02_T1,LC08_L1TP_045032_20130712_20200912_02_T1,LC80450322013193LGN01,2013-07-12,T1,2,45,32,45,32,NADIR,0.0,2020/09/12,2020/09/12,2013-07-12 18:53:11.215382,2013-07-12 18:53:42.985377,LGN,DAY,0.06,0.09,1430,5,1.518,0.839,1.266,LPGS_15.3.1c,64.45104585,130.06504583,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,10,WGS84,WGS84,"40°19'58.48""N","122°46'24.64""W","41°23'07.84""N","124°09'27.90""W","41°22'47.96""N","121°23'03.55""W","39°15'41.54""N","124°07'19.27""W","39°15'23.08""N","121°26'03.05""W",40.33291,-122.77351,41.38551,-124.15775,41.37999,-121.38432,39.26154,-124.12202,39.25641,-121.43418,LC08_L2SP_045032_20130712_20200912_02_T1,LC80450322013193LGN01
LC08_L2SP_044032_20130721_20200912_02_T1,LC08_L1TP_044032_20130721_20200912_02_T1,LC80440322013202LGN01,2013-07-21,T1,2,44,32,44,32,NADIR,0.0,2020/09/12,2020/09/12,2013-07-21 18:46:58.194073,2013-07-21 18:47:29.964069,LGN,DAY,0.0,0.0,1138,5,3.354,2.175,2.554,LPGS_15.3.1c,63.1360302,131.90747727,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,10,WGS84,WGS84,"40°19'58.19""N","121°13'02.35""W","41°23'25.76""N","122°33'39.67""W","41°20'50.71""N","119°49'18.52""W","39°17'25.76""N","122°34'27.95""W","39°15'01.73""N","119°55'07.21""W",40.33283,-121.21732,41.39049,-122.56102,41.34742,-119.82181,39.29049,-122.57443,39.25048,-119.91867,LC08_L2SP_044032_20130721_20200912_02_T1,LC80440322013202LGN01
