Landsat Product Identifier L2,Landsat Product Identifier L1,Landsat Scene Identifier,Date Acquired,Collection Category,Collection Number,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Nadir/Off Nadir,Roll Angle,Date Product Generated L2,Date Product Generated L1,Start Time,Stop Time,Station Identifier,Day/Night Indicator,Land Cloud Cover,Scene Cloud Cover L1,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model,Geometric RMSE Model X,Geometric RMSE Model Y,Processing Software Version,Sun Elevation L0RA,Sun Azimuth L0RA,TIRS SSM Model,Data Type L2,Sensor Identifier,Satellite,Product Map Projection L1,UTM Zone,Datum,Ellipsoid,Scene Center Lat DMS,Scene Center Long DMS,Corner Upper Left Lat DMS,Corner Upper Left Long DMS,Corner Upper Right Lat DMS,Corner Upper Right Long DMS,Corner Lower Left Lat DMS,Corner Lower Left Long DMS,Corner Lower Right Lat DMS,Corner Lower Right Long DMS,Scene Center Latitude,Scene Center Longitude,Corner Upper Left Latitude,Corner Upper Left Longitude,Corner Upper Right Latitude,Corner Upper Right Longitude,Corner Lower Left Latitude,Corner Lower Left Longitude,Corner Lower Right Latitude,Corner Lower Right Longitude,Display ID,Entity ID
LC08_L2SP_045032_20130325_20200912_02_T1,LC08_L1TP_045032_20130325_20200912_02_T1,LC80450322013084LGN02,2013/03/25,T1,2, 045, 032, 045, 032,NADIR,   0.000,2020/09/12,2020/09/12,2013-03-25 18:53:28.843406,2013-03-25 18:53:58.639427,LGN,DAY,  56.20,  57.33,604,5,    5.315,    3.610,    3.900,LPGS_15.3.1c,47.26982364,148.03700146,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,10,WGS84,WGS84,40°19'58.15"N,123°02'39.34"W,41°19'34.46"N,124°23'10.03"W,41°19'38.24"N,121°42'16.81"W,39°18'57.35"N,124°20'44.16"W,39°19'00.91"N,121°44'33.14"W, 40.33282,-123.04426, 41.32624,-124.38612, 41.32729,-121.70467, 39.31593,-124.34560, 39.31692,-121.74254,LC08_L2SP_045032_20130325_20200912_02_T1,LC80450322013084LGN02
LC08_L2SP_044032_20130330_20200913_02_T1,LC08_L1TP_044032_20130330_20200913_02_T1,LC80440322013089LGN03,2013/03/30,T1,2, 044, 032, 045, 032,OFFNADIR,  -6.000,2020/09/13,2020/09/13,2013-03-30 18:49:16.251052,2013-03-30 18:49:46.047072,LGN,DAY,  54.39,  54.90,556,5,    6.543,    4.212,    5.008,LPGS_15.3.1c,48.88539081,146.30529400,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,10,WGS84,WGS84,40°19'58.58"N,122°45'20.20"W,41°19'25.64"N,124°06'49.10"W,41°19'06.24"N,121°25'30.97"W,39°19'36.48"N,124°04'52.64"W,39°19'18.41"N,121°28'15.60"W, 40.33294,-122.75561, 41.32379,-124.11364, 41.31840,-121.42527, 39.32680,-124.08129, 39.32178,-121.47100,LC08_L2SP_044032_20130330_20200913_02_T1,LC80440322013089LGN03
LC08_L2SP_044032_20130409_20200912_02_T1,LC08_L1TP_044032_20130409_20200912_02_T1,LC80440322013099LGN03,2013/04/09,T1,2, 044, 032, 044, 032,NADIR,   0.000,2020/09/12,2020/09/12,2013-04-09 18:45:32.132891,2013-04-09 18:46:01.928911,LGN,DAY,   0.99,   0.99,675,5,    6.351,    3.929,    4.990,LPGS_15.3.1c,53.01149326,146.06155758,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,10,WGS84,WGS84,40°19'57.40"N,120°54'31"W,41°20'04.74"N,122°13'14.88"W,41°17'06.72"N,119°32'17.84"W,39°21'13.28"N,122°14'35.74"W,39°18'27.25"N,119°38'16.37"W, 40.33261,-120.90861, 41.33465,-122.22080, 41.28520,-119.53829, 39.35369,-122.24326, 39.30757,-119.63788,LC08_L2SP_044032_20130409_20200912_02_T1,LC80440322013099LGN03
LC08_L2SP_044033_20130409_20200913_02_T1,LC08_L1TP_044033_20130409_20200913_02_T1,LC80440332013099LGN03,2013/04/09,T1,2, 044, 033, 044, 033,NADIR,   0.000,2020/09/13,2020/09/13,2013-04-09 18:45:55.99004,2013-04-09 18:46:25.786061,LGN,DAY,   0.95,   0.95,939,5,    5.350,    3.471,    4.071,LPGS_15.3.1c,54.03189204,144.43907503,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,10,WGS84,WGS84,38°54'16.20"N,121°21'25.24"W,39°54'05.94"N,122°39'05"W,39°51'50.08"N,120°01'16.07"W,37°55'12.22"N,122°39'39.42"W,37°53'05.57"N,120°06'09.68"W, 38.90450,-121.35701, 39.90165,-122.65139, 39.86391,-120.02113, 37.92006,-122.66095, 37.88488,-120.10269,LC08_L2SP_044033_20130409_20200913_02_T1,LC80440332013099LGN03
LC08_L2SP_044032_20130416_20200913_02_T1,LC08_L1TP_044032_20130416_20200913_02_T1,LC80440322013106LGN03,2013/04/16,T1,2, 044, 032, 044, 032,NADIR,   0.000,2020/09/13,2020/09/13,2013-04-16 18:46:50.882651,2013-04-16 18:47:20.678671,LGN,DAY,  42.67,  42.67,553,5,    5.691,    3.661,    4.357,LPGS_15.3.1c,55.48316833,144.84268076,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,10,WGS84,WGS84,40°19'57.54"N,121°13'42.20"W,41°19'51.67"N,122°33'15.30"W,41°17'19.50"N,119°50'59.03"W,39°20'59.78"N,122°34'01.56"W,39°18'37.84"N,119°56'25.40"W, 40.33265,-121.22839, 41.33102,-122.55425, 41.28875,-119.84973, 39.34994,-122.56710, 39.31051,-119.94039,LC08_L2SP_044032_20130416_20200913_02_T1,LC80440322013106LGN03
LC08_L2SP_044033_20130416_20200912_02_T1,LC08_L1TP_044033_20130416_20200912_02_T1,LC80440332013106LGN03,2013/04/16,T1,2, 044, 033, 044, 033,NADIR,   0.000,2020/09/12,2020/09/12,2013-04-16 18:47:14.769452,2013-04-16 18:47:44.565472,LGN,DAY,   1.95,   1.95,1094,5,    5.250,    3.591,    3.829,LPGS_15.3.1c,56.48036715,143.05379585,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,10,WGS84,WGS84,38°54'15.55"N,121°40'33.82"W,39°53'58.09"N,122°59'05.24"W,39°52'07.68"N,120°19'58.98"W,37°54'44.78"N,122°59'06.76"W,37°53'01.86"N,120°24'22.61"W, 38.90432,-121.67606, 39.89947,-122.98479, 39.86880,-120.33305, 37.91244,-122.98521, 37.88385,-120.40628,LC08_L2SP_044033_20130416_20200912_02_T1,LC80440332013106LGN03
LC08_L2SP_045032_20130423_20200913_02_T1,LC08_L1TP_045032_20130423_20200913_02_T1,LC80450322013113LGN02,2013/04/23,T1,2, 045, 032, 045, 032,NADIR,   0.000,2020/09/13,2020/09/13,2013-04-23 18:52:58.979727,2013-04-23 18:53:28.775747,LGN,DAY,   0.51,   0.50,1228,5,    4.163,    2.738,    3.136,LPGS_15.3.1c,57.78038587,143.44799264,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,10,WGS84,WGS84,40°19'57.43"N,122°45'20.38"W,41°19'35.11"N,124°07'15.10"W,41°19'14.02"N,121°23'08.84"W,39°19'16.79"N,124°05'17.41"W,39°18'57.10"N,121°25'58.26"W, 40.33262,-122.75566, 41.32642,-124.12086, 41.32056,-121.38579, 39.32133,-124.08817, 39.31586,-121.43285,LC08_L2SP_045032_20130423_20200913_02_T1,LC80450322013113LGN02
LC08_L2SP_045033_20130423_20200913_02_T1,LC08_L1TP_045033_20130423_20200913_02_T1,LC80450332013113LGN02,2013/04/23,T1,2, 045, 033, 045, 033,NADIR,   0.000,2020/09/13,2020/09/13,2013-04-23 18:53:22.866528,2013-04-23 18:53:52.662548,LGN,DAY,   0.65,   3.84,932,5,    4.063,    2.813,    2.933,LPGS_15.3.1c,58.74977633,141.47469016,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,10,WGS84,WGS84,38°54'15.62"N,123°12'11.99"W,39°53'40.45"N,124°32'46.79"W,39°53'57.70"N,121°52'07.75"W,37°53'11.80"N,124°30'12.20"W,37°53'27.89"N,121°54'00.86"W, 38.90434,-123.20333, 39.89457,-124.54633, 39.89936,-121.86882, 37.88661,-124.50339, 37.89108,-121.90024,LC08_L2SP_045033_20130423_20200913_02_T1,LC80450332013113LGN02
LC08_L2SP_045032_20130525_20200912_02_T1,LC08_L1TP_045032_20130525_20200912_02_T1,LC80450322013145LGN02,2013/05/25,T1,2, 045, 032, 045, 032,NADIR,   0.000,2020/09/12,2020/09/12,2013-05-25 18:53:15.867593,2013-05-25 18:53:45.663613,LGN,DAY,   1.12,   1.10,1338,5,    2.922,    2.095,    2.037,LPGS_15.3.1c,65.04385757,134.94301260,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,10,WGS84,WGS84,40°19'58.69"N,122°48'23.47"W,41°19'33.31"N,124°10'15.74"W,41°19'16.50"N,121°26'09.42"W,39°19'15.10"N,124°08'12.80"W,39°18'59.44"N,121°28'53.62"W, 40.33297,-122.80652, 41.32592,-124.17104, 41.32125,-121.43595, 39.32086,-124.13689, 39.31651,-121.48156,LC08_L2SP_045032_20130525_20200912_02_T1,LC80450322013145LGN02
LC08_L2SP_045033_20130525_20200913_02_T1,LC08_L1TP_045033_20130525_20200913_02_T1,LC80450332013145LGN02,2013/05/25,T1,2, 045, 033, 045, 033,NADIR,   0.000,2020/09/13,2020/09/13,2013-05-25 18:53:39.75863,2013-05-25 18:54:09.55465,LGN,DAY,   0.59,   4.49,990,5,    2.797,    1.936,    2.018,LPGS_15.3.1c,65.83285939,132.04918751,ACTUAL,OLI_TIRS_L2SP,OLI_TIRS,8,UTM,10,WGS84,WGS84,38°54'16.20"N,123°15'15.05"W,39°53'37.90"N,124°35'56.22"W,39°53'59.39"N,121°55'04.58"W,37°53'09.42"N,124°33'16.34"W,37°53'29.44"N,121°56'52.80"W, 38.90450,-123.25418, 39.89386,-124.59895, 39.89983,-121.91794, 37.88595,-124.55454, 37.89151,-121.94800,LC08_L2SP_045033_20130525_20200913_02_T1,LC80450332013145LGN02
