Entity ID,Area of Interest,Map Projection,Sensor,Begin Date,End Date,Agency,Platform,Comments,Version,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID,Week Start
EMUSA20111227201201026,CONUS,Lambert Azimuthal Equal Area,MODIS,2011-12-27 06:00:00+00:00,2012-01-02 00:00:00-06,USGS EROS,AQUA,acceptable,6,"38°44'12.72""N","97°12'06.84""W","48°24'11""N","128°31'48.21""W","46°42'17.64""N","65°23'40.74""W","22°28'45.81""N","75°24'58.87""W","23°35'01.53""N","119°58'20.24""W",38.7368667,-97.2019,48.4030556,-128.5300583,46.7049,-65.39465,22.4793917,-75.4163528,23.5837583,-119.9722889,EMUSA20111227201201026,2011-12-26
EMUSA20120103201201096,CONUS,Lambert Azimuthal Equal Area,MODIS,2012-01-03 06:00:00+00:00,2012-01-09 00:00:00-06,USGS EROS,AQUA,acceptable,6,"38°44'12.72""N","97°12'06.84""W","48°24'11""N","128°31'48.21""W","46°42'17.64""N","65°23'40.74""W","22°28'45.81""N","75°24'58.87""W","23°35'01.53""N","119°58'20.24""W",38.7368667,-97.2019,48.4030556,-128.5300583,46.7049,-65.39465,22.4793917,-75.4163528,23.5837583,-119.9722889,EMUSA20120103201201096,2012-01-02
EMUSA20120110201201166,CONUS,Lambert Azimuthal Equal Area,MODIS,2012-01-10 06:00:00+00:00,2012-01-16 00:00:00-06,USGS EROS,AQUA,acceptable,6,"38°44'12.72""N","97°12'06.84""W","48°24'11""N","128°31'48.21""W","46°42'17.64""N","65°23'40.74""W","22°28'45.81""N","75°24'58.87""W","23°35'01.53""N","119°58'20.24""W",38.7368667,-97.2019,48.4030556,-128.5300583,46.7049,-65.39465,22.4793917,-75.4163528,23.5837583,-119.9722889,EMUSA20120110201201166,2012-01-09
EMUSA20120117201201236,CONUS,Lambert Azimuthal Equal Area,MODIS,2012-01-17 06:00:00+00:00,2012-01-23 00:00:00-06,USGS EROS,AQUA,acceptable,6,"38°44'12.72""N","97°12'06.84""W","48°24'11""N","128°31'48.21""W","46°42'17.64""N","65°23'40.74""W","22°28'45.81""N","75°24'58.87""W","23°35'01.53""N","119°58'20.24""W",38.7368667,-97.2019,48.4030556,-128.5300583,46.7049,-65.39465,22.4793917,-75.4163528,23.5837583,-119.9722889,EMUSA20120117201201236,2012-01-16
EMUSA20120124201201306,CONUS,Lambert Azimuthal Equal Area,MODIS,2012-01-24 06:00:00+00:00,2012-01-30 00:00:00-06,USGS EROS,AQUA,acceptable,6,"38°44'12.72""N","97°12'06.84""W","48°24'11""N","128°31'48.21""W","46°42'17.64""N","65°23'40.74""W","22°28'45.81""N","75°24'58.87""W","23°35'01.53""N","119°58'20.24""W",38.7368667,-97.2019,48.4030556,-128.5300583,46.7049,-65.39465,22.4793917,-75.4163528,23.5837583,-119.9722889,EMUSA20120124201201306,2012-01-23
EMUSA20120131201202066,CONUS,Lambert Azimuthal Equal Area,MODIS,2012-01-31 06:00:00+00:00,2012-02-06 00:00:00-06,USGS EROS,AQUA,acceptable,6,"38°44'12.72""N","97°12'06.84""W","48°24'11""N","128°31'48.21""W","46°42'17.64""N","65°23'40.74""W","22°28'45.81""N","75°24'58.87""W","23°35'01.53""N","119°58'20.24""W",38.7368667,-97.2019,48.4030556,-128.5300583,46.7049,-65.39465,22.4793917,-75.4163528,23.5837583,-119.9722889,EMUSA20120131201202066,2012-01-30
EMUSA20120207201202136,CONUS,Lambert Azimuthal Equal Area,MODIS,2012-02-07 06:00:00+00:00,2012-02-13 00:00:00-06,USGS EROS,AQUA,acceptable,6,"38°44'12.72""N","97°12'06.84""W","48°24'11""N","128°31'48.21""W","46°42'17.64""N","65°23'40.74""W","22°28'45.81""N","75°24'58.87""W","23°35'01.53""N","119°58'20.24""W",38.7368667,-97.2019,48.4030556,-128.5300583,46.7049,-65.39465,22.4793917,-75.4163528,23.5837583,-119.9722889,EMUSA20120207201202136,2012-02-06
EMUSA20120214201202206,CONUS,Lambert Azimuthal Equal Area,MODIS,2012-02-14 06:00:00+00:00,2012-02-20 00:00:00-06,USGS EROS,AQUA,acceptable,6,"38°44'12.72""N","97°12'06.84""W","48°24'11""N","128°31'48.21""W","46°42'17.64""N","65°23'40.74""W","22°28'45.81""N","75°24'58.87""W","23°35'01.53""N","119°58'20.24""W",38.7368667,-97.2019,48.4030556,-128.5300583,46.7049,-65.39465,22.4793917,-75.4163528,23.5837583,-119.9722889,EMUSA20120214201202206,2012-02-13
EMUSA20120221201202276,CONUS,Lambert Azimuthal Equal Area,MODIS,2012-02-21 06:00:00+00:00,2012-02-27 00:00:00-06,USGS EROS,AQUA,acceptable,6,"38°44'12.72""N","97°12'06.84""W","48°24'11""N","128°31'48.21""W","46°42'17.64""N","65°23'40.74""W","22°28'45.81""N","75°24'58.87""W","23°35'01.53""N","119°58'20.24""W",38.7368667,-97.2019,48.4030556,-128.5300583,46.7049,-65.39465,22.4793917,-75.4163528,23.5837583,-119.9722889,EMUSA20120221201202276,2012-02-20
EMUSA20120228201203056,CONUS,Lambert Azimuthal Equal Area,MODIS,2012-02-28 06:00:00+00:00,2012-03-05 00:00:00-06,USGS EROS,AQUA,acceptable,6,"38°44'12.72""N","97°12'06.84""W","48°24'11""N","128°31'48.21""W","46°42'17.64""N","65°23'40.74""W","22°28'45.81""N","75°24'58.87""W","23°35'01.53""N","119°58'20.24""W",38.7368667,-97.2019,48.4030556,-128.5300583,46.7049,-65.39465,22.4793917,-75.4163528,23.5837583,-119.9722889,EMUSA20120228201203056,2012-02-27
EMUSA20120306201203126,CONUS,Lambert Azimuthal Equal Area,MODIS,2012-03-06 06:00:00+00:00,2012-03-12 00:00:00-05,USGS EROS,AQUA,acceptable,6,"38°44'12.72""N","97°12'06.84""W","48°24'11""N","128°31'48.21""W","46°42'17.64""N","65°23'40.74""W","22°28'45.81""N","75°24'58.87""W","23°35'01.53""N","119°58'20.24""W",38.7368667,-97.2019,48.4030556,-128.5300583,46.7049,-65.39465,22.4793917,-75.4163528,23.5837583,-119.9722889,EMUSA20120306201203126,2012-03-05
EMUSA20120313201203196,CONUS,Lambert Azimuthal Equal Area,MODIS,2012-03-13 05:00:00+00:00,2012-03-19 00:00:00-05,USGS EROS,AQUA,acceptable,6,"38°44'12.72""N","97°12'06.84""W","48°24'11""N","128°31'48.21""W","46°42'17.64""N","65°23'40.74""W","22°28'45.81""N","75°24'58.87""W","23°35'01.53""N","119°58'20.24""W",38.7368667,-97.2019,48.4030556,-128.5300583,46.7049,-65.39465,22.4793917,-75.4163528,23.5837583,-119.9722889,EMUSA20120313201203196,2012-03-12
EMUSA20120320201203266,CONUS,Lambert Azimuthal Equal Area,MODIS,2012-03-20 05:00:00+00:00,2012-03-26 00:00:00-05,USGS EROS,AQUA,acceptable,6,"38°44'12.72""N","97°12'06.84""W","48°24'11""N","128°31'48.21""W","46°42'17.64""N","65°23'40.74""W","22°28'45.81""N","75°24'58.87""W","23°35'01.53""N","119°58'20.24""W",38.7368667,-97.2019,48.4030556,-128.5300583,46.7049,-65.39465,22.4793917,-75.4163528,23.5837583,-119.9722889,EMUSA20120320201203266,2012-03-19
EMUSA20120327201204026,CONUS,Lambert Azimuthal Equal Area,MODIS,2012-03-27 05:00:00+00:00,2012-04-02 00:00:00-05,USGS EROS,AQUA,acceptable,6,"38°44'12.72""N","97°12'06.84""W","48°24'11""N","128°31'48.21""W","46°42'17.64""N","65°23'40.74""W","22°28'45.81""N","75°24'58.87""W","23°35'01.53""N","119°58'20.24""W",38.7368667,-97.2019,48.4030556,-128.5300583,46.7049,-65.39465,22.4793917,-75.4163528,23.5837583,-119.9722889,EMUSA20120327201204026,2012-03-26
EMUSA20120403201204096,CONUS,Lambert Azimuthal Equal Area,MODIS,2012-04-03 05:00:00+00:00,2012-04-09 00:00:00-05,USGS EROS,AQUA,acceptable,6,"38°44'12.72""N","97°12'06.84""W","48°24'11""N","128°31'48.21""W","46°42'17.64""N","65°23'40.74""W","22°28'45.81""N","75°24'58.87""W","23°35'01.53""N","119°58'20.24""W",38.7368667,-97.2019,48.4030556,-128.5300583,46.7049,-65.39465,22.4793917,-75.4163528,23.5837583,-119.9722889,EMUSA20120403201204096,2012-04-02
EMUSA20120410201204166,CONUS,Lambert Azimuthal Equal Area,MODIS,2012-04-10 05:00:00+00:00,2012-04-16 00:00:00-05,USGS EROS,AQUA,acceptable,6,"38°44'12.72""N","97°12'06.84""W","48°24'11""N","128°31'48.21""W","46°42'17.64""N","65°23'40.74""W","22°28'45.81""N","75°24'58.87""W","23°35'01.53""N","119°58'20.24""W",38.7368667,-97.2019,48.4030556,-128.5300583,46.7049,-65.39465,22.4793917,-75.4163528,23.5837583,-119.9722889,EMUSA20120410201204166,2012-04-09
EMUSA20120417201204236,CONUS,Lambert Azimuthal Equal Area,MODIS,2012-04-17 05:00:00+00:00,2012-04-23 00:00:00-05,USGS EROS,AQUA,acceptable,6,"38°44'12.72""N","97°12'06.84""W","48°24'11""N","128°31'48.21""W","46°42'17.64""N","65°23'40.74""W","22°28'45.81""N","75°24'58.87""W","23°35'01.53""N","119°58'20.24""W",38.7368667,-97.2019,48.4030556,-128.5300583,46.7049,-65.39465,22.4793917,-75.4163528,23.5837583,-119.9722889,EMUSA20120417201204236,2012-04-16
EMUSA20120424201204306,CONUS,Lambert Azimuthal Equal Area,MODIS,2012-04-24 05:00:00+00:00,2012-04-30 00:00:00-05,USGS EROS,AQUA,acceptable,6,"38°44'12.72""N","97°12'06.84""W","48°24'11""N","128°31'48.21""W","46°42'17.64""N","65°23'40.74""W","22°28'45.81""N","75°24'58.87""W","23°35'01.53""N","119°58'20.24""W",38.7368667,-97.2019,48.4030556,-128.5300583,46.7049,-65.39465,22.4793917,-75.4163528,23.5837583,-119.9722889,EMUSA20120424201204306,2012-04-23
EMUSA20120501201205076,CONUS,Lambert Azimuthal Equal Area,MODIS,2012-05-01 05:00:00+00:00,2012-05-07 00:00:00-05,USGS EROS,AQUA,acceptable,6,"38°44'12.72""N","97°12'06.84""W","48°24'11""N","128°31'48.21""W","46°42'17.64""N","65°23'40.74""W","22°28'45.81""N","75°24'58.87""W","23°35'01.53""N","119°58'20.24""W",38.7368667,-97.2019,48.4030556,-128.5300583,46.7049,-65.39465,22.4793917,-75.4163528,23.5837583,-119.9722889,EMUSA20120501201205076,2012-04-30
EMUSA20120508201205146,CONUS,Lambert Azimuthal Equal Area,MODIS,2012-05-08 05:00:00+00:00,2012-05-14 00:00:00-05,USGS EROS,AQUA,acceptable,6,"38°44'12.72""N","97°12'06.84""W","48°24'11""N","128°31'48.21""W","46°42'17.64""N","65°23'40.74""W","22°28'45.81""N","75°24'58.87""W","23°35'01.53""N","119°58'20.24""W",38.7368667,-97.2019,48.4030556,-128.5300583,46.7049,-65.39465,22.4793917,-75.4163528,23.5837583,-119.9722889,EMUSA20120508201205146,2012-05-07
EMUSA20120515201205216,CONUS,Lambert Azimuthal Equal Area,MODIS,2012-05-15 05:00:00+00:00,2012-05-21 00:00:00-05,USGS EROS,AQUA,acceptable,6,"38°44'12.72""N","97°12'06.84""W","48°24'11""N","128°31'48.21""W","46°42'17.64""N","65°23'40.74""W","22°28'45.81""N","75°24'58.87""W","23°35'01.53""N","119°58'20.24""W",38.7368667,-97.2019,48.4030556,-128.5300583,46.7049,-65.39465,22.4793917,-75.4163528,23.5837583,-119.9722889,EMUSA20120515201205216,2012-05-14
EMUSA20120522201205286,CONUS,Lambert Azimuthal Equal Area,MODIS,2012-05-22 05:00:00+00:00,2012-05-28 00:00:00-05,USGS EROS,AQUA,acceptable,6,"38°44'12.72""N","97°12'06.84""W","48°24'11""N","128°31'48.21""W","46°42'17.64""N","65°23'40.74""W","22°28'45.81""N","75°24'58.87""W","23°35'01.53""N","119°58'20.24""W",38.7368667,-97.2019,48.4030556,-128.5300583,46.7049,-65.39465,22.4793917,-75.4163528,23.5837583,-119.9722889,EMUSA20120522201205286,2012-05-21
EMUSA20120529201206046,CONUS,Lambert Azimuthal Equal Area,MODIS,2012-05-29 05:00:00+00:00,2012-06-04 00:00:00-05,USGS EROS,AQUA,acceptable,6,"38°44'12.72""N","97°12'06.84""W","48°24'11""N","128°31'48.21""W","46°42'17.64""N","65°23'40.74""W","22°28'45.81""N","75°24'58.87""W","23°35'01.53""N","119°58'20.24""W",38.7368667,-97.2019,48.4030556,-128.5300583,46.7049,-65.39465,22.4793917,-75.4163528,23.5837583,-119.9722889,EMUSA20120529201206046,2012-05-28
EMUSA20120605201206116,CONUS,Lambert Azimuthal Equal Area,MODIS,2012-06-05 05:00:00+00:00,2012-06-11 00:00:00-05,USGS EROS,AQUA,acceptable,6,"38°44'12.72""N","97°12'06.84""W","48°24'11""N","128°31'48.21""W","46°42'17.64""N","65°23'40.74""W","22°28'45.81""N","75°24'58.87""W","23°35'01.53""N","119°58'20.24""W",38.7368667,-97.2019,48.4030556,-128.5300583,46.7049,-65.39465,22.4793917,-75.4163528,23.5837583,-119.9722889,EMUSA20120605201206116,2012-06-04
EMUSA20120612201206186,CONUS,Lambert Azimuthal Equal Area,MODIS,2012-06-12 05:00:00+00:00,2012-06-18 00:00:00-05,USGS EROS,AQUA,acceptable,6,"38°44'12.72""N","97°12'06.84""W","48°24'11""N","128°31'48.21""W","46°42'17.64""N","65°23'40.74""W","22°28'45.81""N","75°24'58.87""W","23°35'01.53""N","119°58'20.24""W",38.7368667,-97.2019,48.4030556,-128.5300583,46.7049,-65.39465,22.4793917,-75.4163528,23.5837583,-119.9722889,EMUSA20120612201206186,2012-06-11
EMUSA20120619201206256,CONUS,Lambert Azimuthal Equal Area,MODIS,2012-06-19 05:00:00+00:00,2012-06-25 00:00:00-05,USGS EROS,AQUA,acceptable,6,"38°44'12.72""N","97°12'06.84""W","48°24'11""N","128°31'48.21""W","46°42'17.64""N","65°23'40.74""W","22°28'45.81""N","75°24'58.87""W","23°35'01.53""N","119°58'20.24""W",38.7368667,-97.2019,48.4030556,-128.5300583,46.7049,-65.39465,22.4793917,-75.4163528,23.5837583,-119.9722889,EMUSA20120619201206256,2012-06-18
